numbers,pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,icon,type1,type2,height_m,weight_kgs
0,1,Bulbasaur,45,49,49,65,65,45,1,False,http://cdn.bulbagarden.net/upload/e/ec/001MS.png,Grass,Poison,0.7,6.9
1,2,Ivysaur,60,62,63,80,80,60,1,False,http://cdn.bulbagarden.net/upload/6/6b/002MS.png,Grass,Poison,1.0,13.0
3,3,Venusaur,80,82,83,100,100,80,1,False,http://cdn.bulbagarden.net/upload/d/df/003MS.png,Grass,Poison,2.0,100.0
2,3,Venusaur (Mega Venusaur),80,100,123,122,120,80,1,False,https://cdn.bulbagarden.net/upload/a/ae/003MMS.png,Grass,Poison,2.4,155.5
4,4,Charmander,39,52,43,60,50,65,1,False,http://cdn.bulbagarden.net/upload/b/bb/004MS.png,Fire,,0.6,8.5
5,5,Charmeleon,58,64,58,80,65,80,1,False,http://cdn.bulbagarden.net/upload/d/dc/005MS.png,Fire,,1.1,19.0
8,6,Charizard,78,84,78,109,85,100,1,False,http://cdn.bulbagarden.net/upload/0/01/006MS.png,Fire,Flying,1.7,90.5
7,6,Charizard (Mega Charizard X),78,130,111,130,85,100,1,False,https://cdn.bulbagarden.net/upload/f/ff/006MXMS.png,Fire,Dragon,1.7,110.5
6,6,Charizard (Mega Charizard Y),78,104,78,159,115,100,1,False,https://cdn.bulbagarden.net/upload/1/1f/006MYMS.png,Fire,Flying,1.7,100.5
9,7,Squirtle,44,48,65,50,64,43,1,False,http://cdn.bulbagarden.net/upload/9/92/007MS.png,Water,,0.5,9.0
10,8,Wartortle,59,63,80,65,80,58,1,False,http://cdn.bulbagarden.net/upload/f/f3/008MS.png,Water,,1.0,22.5
12,9,Blastoise,79,83,100,85,105,78,1,False,http://cdn.bulbagarden.net/upload/c/cb/009MS.png,Water,,1.6,85.5
11,9,Blastoise (Mega Blastoise),79,103,120,135,115,78,1,False,https://cdn.bulbagarden.net/upload/a/ac/009MMS.png,Water,,1.6,101.1
13,10,Caterpie,45,30,35,20,20,45,1,False,http://cdn.bulbagarden.net/upload/6/69/010MS.png,Bug,,0.3,2.9
14,11,Metapod,50,20,55,25,25,30,1,False,http://cdn.bulbagarden.net/upload/c/ce/011MS.png,Bug,,0.7,9.9
15,12,Butterfree,60,45,50,90,80,70,1,False,http://cdn.bulbagarden.net/upload/1/14/012MS.png,Bug,Flying,1.1,32.0
16,13,Weedle,40,35,30,20,20,50,1,False,http://cdn.bulbagarden.net/upload/6/65/013MS.png,Bug,Poison,0.3,3.2
17,14,Kakuna,45,25,50,25,25,35,1,False,http://cdn.bulbagarden.net/upload/8/81/014MS.png,Bug,Poison,0.6,10.0
19,15,Beedrill,65,90,40,45,80,75,1,False,http://cdn.bulbagarden.net/upload/5/5a/015MS.png,Bug,Poison,1.0,29.5
18,15,Beedrill (Mega Beedrill),65,150,40,15,80,145,1,False,https://cdn.bulbagarden.net/upload/c/c8/015MMS.png,Bug,Poison,1.4,40.5
20,16,Pidgey,40,45,40,35,35,56,1,False,http://cdn.bulbagarden.net/upload/9/9c/016MS.png,Normal,Flying,0.3,1.8
21,17,Pidgeotto,63,60,55,50,50,71,1,False,http://cdn.bulbagarden.net/upload/a/a9/017MS.png,Normal,Flying,1.1,30.0
23,18,Pidgeot,83,80,75,70,70,101,1,False,http://cdn.bulbagarden.net/upload/6/68/018MS.png,Normal,Flying,1.5,39.5
22,18,Pidgeot (Mega Pidgeot),83,80,80,135,80,121,1,False,https://cdn.bulbagarden.net/upload/6/68/018MS.png,Normal,Flying,2.2,50.5
24,19,Rattata,30,56,35,25,35,72,1,False,http://cdn.bulbagarden.net/upload/4/4d/019MS.png,Normal,,0.3,3.5
25,19,Rattata (Alolan Rattata),30,56,35,25,35,72,1,False,https://cdn.bulbagarden.net/upload/2/28/019AMS.png,Dark,Normal,0.3,3.8
27,20,Raticate,55,81,60,50,70,97,1,False,http://cdn.bulbagarden.net/upload/4/4d/020MS.png,Normal,,0.7,18.5
26,20,Raticate (Alolan Raticate),75,71,70,40,80,77,1,False,https://cdn.bulbagarden.net/upload/5/56/020AMS.png,Dark,Normal,0.7,25.5
28,21,Spearow,40,60,30,31,31,70,1,False,http://cdn.bulbagarden.net/upload/5/5b/021MS.png,Normal,Flying,0.3,2.0
29,22,Fearow,65,90,65,61,61,100,1,False,http://cdn.bulbagarden.net/upload/3/35/022MS.png,Normal,Flying,1.2,38.0
30,23,Ekans,35,60,44,40,54,55,1,False,http://cdn.bulbagarden.net/upload/0/0d/023MS.png,Poison,,2.0,6.9
31,24,Arbok,60,95,69,65,79,80,1,False,http://cdn.bulbagarden.net/upload/d/d3/024MS.png,Poison,,3.5,65.0
33,25,Pikachu,35,55,40,50,50,90,1,False,http://cdn.bulbagarden.net/upload/0/0f/025MS.png,Electric,,0.4,6.0
32,25,Pikachu (Partner Pikachu),45,80,50,75,60,120,1,False,https://cdn.bulbagarden.net/upload/b/be/025PaMS.png,Electric,,0.4,6.0
34,26,Raichu,60,85,50,95,85,110,1,False,http://cdn.bulbagarden.net/upload/d/da/026MS.png,Electric,,0.8,30.0
35,26,Raichu (Alolan Raichu),60,85,50,95,85,110,1,False,https://cdn.bulbagarden.net/upload/a/a4/026AMS.png,Electric,Psychic,0.7,21.0
36,27,Sandshrew,50,75,85,20,30,40,1,False,http://cdn.bulbagarden.net/upload/c/c3/027MS.png,Ground,,0.6,12.0
37,27,Sandshrew (Alolan Sandshrew),50,75,90,10,35,40,1,False,https://cdn.bulbagarden.net/upload/4/46/027AMS.png,Ice,Steel,0.7,40.0
38,28,Sandslash,75,100,110,45,55,65,1,False,http://cdn.bulbagarden.net/upload/e/e0/028MS.png,Ground,,1.0,29.5
39,28,Sandslash (Alolan Sandslash),75,100,120,25,65,65,1,False,https://cdn.bulbagarden.net/upload/c/c1/028AMS.png,Ice,Steel,1.2,55.0
40,29,Nidoran♀,55,47,52,40,40,41,1,False,http://cdn.bulbagarden.net/upload/a/ab/029MS.png,Poison,,0.4,7.0
41,30,Nidorina,70,62,67,55,55,56,1,False,http://cdn.bulbagarden.net/upload/d/d0/030MS.png,Poison,,0.8,20.0
